rank,player_name,team,position,salary_aav,cap_hit_2026,cap_hit_2027,photo_filename,start_time,end_time,notes
10,,,,,,,,00:00:00,00:00:00,"mm:ss or hh:mm:ss into NFL_Highest_Paid-Full.mp4 - use the transcript to find where this player's segment begins/ends"
9,,,,,,,,00:00:00,00:00:00,
8,,,,,,,,00:00:00,00:00:00,
7,,,,,,,,00:00:00,00:00:00,
6,,,,,,,,00:00:00,00:00:00,
5,,,,,,,,00:00:00,00:00:00,
4,,,,,,,,00:00:00,00:00:00,
3,,,,,,,,00:00:00,00:00:00,
2,,,,,,,,00:00:00,00:00:00,
1,,,,,,,,00:00:00,00:00:00,
